store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/777473/matter-wedding-crasher-wedding-cake-x-purple-punch?recommended=false&fromMenu=true"">Wedding Crasher (Wedding Cake x Purple Punch)</a><br><a href=""https://www.leafly.com/search?q=Wedding Crasher (Wedding Cake x Purple Punch)"">Leafly</a>",<class 'filter'>,matter.,Flower,$30.00,3.5g,20.85%,729.75mg,0.041/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/66939/prime-wellness-purple-haze-44?recommended=false&fromMenu=true"">Purple Haze #44</a><br><a href=""https://www.leafly.com/search?q=Purple Haze #44"">Leafly</a>",<class 'filter'>,Prime Wellness,Flower,$45.00,3.5g,16.26%,569.10mg,0.079/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/754372/grassroots-gelato-41-x-do-si-do?recommended=false&fromMenu=true"">Gelato 41 x Do-Si-Do</a><br><a href=""https://www.leafly.com/search?q=Gelato 41 x Do-Si-Do"">Leafly</a>",<class 'filter'>,Grassroots,Flower,$17.50,1.0g,20.11%,201.10mg,0.087/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/679830/matter-sunset-mac-alien-cookies-x-columbian-x-starfighter-x-sunset-sherbet?recommended=false&fromMenu=true"">Sunset Mac (Alien Cookies x (Columbian x Starfighter) x Sunset Sherbet)</a><br><a href=""https://www.leafly.com/search?q=Sunset Mac (Alien Cookies x (Columbian x Starfighter) x Sunset Sherbet)"">Leafly</a>",<class 'filter'>,matter.,Flower,$30.00,3.5g,19.01%,665.35mg,0.045/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/1098989/calypso-fruit-pie?recommended=false&fromMenu=true"">Fruit Pie</a><br><a href=""https://www.leafly.com/search?q=Fruit Pie"">Leafly</a>",<class 'filter'>,Calypso,Ground,$45.00,7.0g,22.52%,1576.40mg,0.029/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1181760/cresco-caped-crusader?recommended=false&fromMenu=true"">Caped Crusader</a><br><a href=""https://www.leafly.com/search?q=Caped Crusader"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,28.62%,1001.70mg,0.055/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/595211/prime-wellness-urban-legend-48?recommended=false&fromMenu=true"">Urban Legend #48</a><br><a href=""https://www.leafly.com/search?q=Urban Legend #48"">Leafly</a>",<class 'filter'>,Prime Wellness,Flower,$55.00,3.5g,24.34%,851.90mg,0.065/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/890663/insa-london-pc?recommended=false&fromMenu=true"">London PC</a><br><a href=""https://www.leafly.com/search?q=London PC"">Leafly</a>",<class 'filter'>,INSA,Flower,$54.00,3.5g,18.50%,647.50mg,0.083/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1167599/penn-health-group-cheese?recommended=false&fromMenu=true"">Cheese </a><br><a href=""https://www.leafly.com/search?q=Cheese "">Leafly</a>",<class 'filter'>,Penn Health Group,Flower,$47.00,3.5g,24.29%,850.15mg,0.055/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/909736/maitri-genetics-sunset-driver?recommended=false&fromMenu=true"">Sunset Driver</a><br><a href=""https://www.leafly.com/search?q=Sunset Driver"">Leafly</a>",<class 'filter'>,Maitri Genetics,Flower,$55.00,3.5g,20.20%,707.00mg,0.078/mg
