store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
Montgomeryville,18936,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$71.96,7.0g,26.31%,1841.70mg,0.039/mg
Pittsburgh,15112,Gelato #33 I95  ,Hybrid,SUPPLY,Small,$80.01,7.0g,19.86%,1390.20mg,0.058/mg
Pittsburgh,15112,Durban  ,Sativa,SUPPLY,Small,$60.00,7.0g,19.37%,1355.90mg,0.044/mg
Lancaster,17601,Pink 2.0 ,Indica,OLD PAL,Flower,$59.99,7.0g,19.20%,1344.00mg,0.045/mg
Butler,16001,Jokerz Candy Float ,Sativa,FLOAT,Flower,$49.98,3.5g,20.13%,704.55mg,0.071/mg
Phoenixville,19460,Dynamite Cookies ,Sativa,TYSON 2.0,Flower,$58.00,3.5g,26.70%,934.50mg,0.062/mg
Lancaster,17601,Casey Jones ,Sativa,MOXIE,Flower,$54.98,3.5g,20.16%,705.60mg,0.078/mg
Montgomeryville,18936,Bubba Diagonal Premium ,Indica,GRASSROOTS,Flower,$69.94,7.0g,22.34%,1563.80mg,0.045/mg
Philadelphia - Chestnut St,17301,Zookies ,Indica,GLEAF,Flower,$70.00,7.0g,21.65%,1515.50mg,0.046/mg
Butler,16001,MTF #2 ,Sativa,KYND,Flower,$50.02,3.5g,24.40%,854.00mg,0.059/mg
Phoenixville,19460,White Truffle ,Indica,FRX,Flower,$54.98,3.5g,23.52%,823.20mg,0.067/mg
Philadelphia - Chestnut St,17301,Runtz ,Hybrid,FRX,Flower,$54.98,3.5g,18.71%,654.85mg,0.084/mg
